minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,room_type_n,price
0.20000000000000004,0.05128205128205129,0.0,0.11506849315068493,0.5,150
1.0,0.0,1.0,0.8547945205479452,0.5,290
0.0,0.08547008547008547,0.4,0.0,0.0,80
0.0,0.4444444444444445,0.8000000000000002,0.0,0.0,65
1.0,0.05128205128205129,0.4,0.663013698630137,0.0,45
0.0,1.0,0.0,0.019178082191780823,0.5,80
0.0,0.08547008547008547,0.8000000000000002,1.0,0.0,75
0.6000000000000001,0.25641025641025644,0.0,0.5835616438356165,0.0,69
0.30000000000000004,0.4786324786324787,0.0,0.0,0.0,65
0.30000000000000004,0.0,0.0,0.0,0.0,60
0.20000000000000004,0.05128205128205129,0.0,0.0,0.5,195
1.0,0.3247863247863248,0.8000000000000002,0.2904109589041096,0.0,69
0.4,0.03418803418803419,0.0,0.0,0.5,160
0.20000000000000004,0.20512820512820515,0.0,0.0,0.5,150
0.0,0.0,0.4,0.0,0.0,250
0.20000000000000004,0.0,0.0,0.0,0.5,90
0.1,0.06837606837606838,0.0,0.35342465753424657,0.5,235
0.0,0.0,1.0,0.6301369863013698,0.0,100
0.0,0.0,0.0,0.0410958904109589,0.5,239
0.0,0.0,0.0,0.08767123287671233,0.5,65
0.20000000000000004,0.3247863247863248,0.0,0.6246575342465753,0.5,115
0.0,0.5128205128205129,0.0,0.7726027397260274,0.5,60
0.6000000000000001,0.017094017094017096,0.0,0.473972602739726,0.0,60
1.0,0.0,0.0,0.0,0.0,45
0.0,0.03418803418803419,0.0,0.0,0.5,300
0.4,0.15384615384615385,0.4,0.0,0.0,35
0.30000000000000004,0.08547008547008547,1.0,0.2684931506849315,0.0,69
1.0,0.08547008547008547,0.0,0.8246575342465754,0.5,198
0.4,0.05128205128205129,0.0,0.0,0.5,100
0.1,0.8034188034188035,1.0,0.6821917808219178,0.0,60
0.0,0.0,0.0,0.4904109589041096,0.0,225
0.1,0.3247863247863248,1.0,0.8986301369863013,0.5,325
0.1,0.15384615384615385,0.0,0.7835616438356164,0.5,350
0.0,0.0,0.0,0.0,0.0,45
